title,cleaned_description,cluster,topic
S Jaishankar Interview | S Jaishankar Asked To Bet On BJP Poll Score At NDTV Battleground. His Reply,"Pro-incumbency in several states and growing support in areas that are not the BJP's traditional strongholds will ensure that the ruling party beats its 2019 score in the ongoing Lok Sabha polls, External Affairs Minister Dr S Jaishankar said at NDTV's special show Battleground with Editor-in-Chief Sanjay Pugalia.  Asked what number he would choose if he has to place a bet on the BJP's tally in these polls, Dr Jaishankar said he would leave the numbers to experts. ""But I can tell you one thing, I had several public interactions in this election. I think the support base in very solid. People have a way of showing pro-incumbency. So I felt there is a pro-incumbency in several states. Secondly, I went to Kerala several times last year. I went to Telangana for the election. These are not the BJP's traditional states. I sensed an emerging energy there. I can say that the trend in our favour is very positive. On the basis of my experience, I feel the numbers will increase, not decrease,"" he said.              ",32,bjp jaishankar pro said states
"Indian Space Tourist | Gopichand Thotakura Makes History, Becomes 1st Indian Space Tourist","Indian-origin pilot and entrepreneur Gopichand Thotakura has made history to become the first Indian space tourist on Jeff Bezos' Blue Origin New Shepard flight. Thotakura flaunted his heritage proudly and carried an Indian flag with him onboard the flight. As part of a six-member crew, Thotakura was alongside the first African-American astronaut candidate and former US Air Force Captain Ed Dwight who also made history as the oldest man to fly in space.         ",33,history indian space thotakura tourist
"OBC News Today | Mamata Banerjee After High Court Cancels OBC Certificates: ""Won't Accept""","The Calcutta High Court has cancelled all certificates to Other Backward Classes issued in Bengal since 2011 under the Trinamool Congress administration, calling them ""illegal"". This, however, would not affect the people currently holding jobs or seats in educational institutions or those who filed applications with caste certificates, the court said.         ",34,2011 certificates court high obc
Kashmir Voter Turnout | The Importance Of High Voter Turnout In The Kashmir Valley,"Kashmir Voting News: Baramulla constituency in Kashmir made history by recording approximately 59 percent voter turnout when polling was held on May 20th during the fifth phase of the 2024 General Elections. This is an all-time high since the constituency was established in 1967.   Earlier, the Srinagar parliamentary constituency, which went to the polls on May 13th, recorded a voter turnout of approximately 38 percent. This also marked the highest turnout for the constituency since 1996.  The higher voter turnout numbers represent a major shift from how Kashmir has approached elections since the turmoil began in the valley in the early 1990s.        ",35,constituency high kashmir turnout voter
"Anwarul Azim Anar | Bangladesh MP Goes Missing In Kolkata, Police Suspect Murder","A Bangladesh MP who travelled to Kolkata for medical treatment is missing and has most likely been murdered, a senior Bengal police officer told NDTV Wednesday. Anwarul Azim Anar - a member of the ruling Awami League - was last seen at a high-end housing complex in the New Town area.       ",36,anar bangladesh kolkata missing police
Pune Accident | Pune Teen Who Killed 2 Techies With Porsche Sent To Remand Home Till June 5,"Three days after bail was granted to the Pune teenager who rammed his Porsche into a motorcycle, killing two IT professionals in their 20s, the Juvenile Justice Board has modified its order and sent him to a remand home till June 5. The boy's lawyer said this has been done keeping in mind that there may be a threat to his life because of public anger.               ",37,june porsche pune remand till
"UK Elections Announced | Rishi Sunak Ends Months Of Speculation, Sets July 4 As Election Date","UK Prime Minister Rishi Sunak on Wednesday set a general election date for July 4, ending months of speculation but not doom-laden forecasts about the size of the government's expected defeat.  The poll will be the first time Sunak, 44, faces the public while in charge, after he was appointed leader of the largest party in parliament by Conservative MPs in October 2022.         ",38,date july months speculation sunak
"PM Modi In Delhi | ""Every Party Under Congress Umbrella Guilty Of Anti-Sikh Riots"": PM Modi","Prime Minister Narendra Modi attacked the Opposition again over dynastic politics today, declaring that while the BJP's mantra is ""Nation First"", the other side operates on the ""Family first"" maxim. In a dig at Arvind Kejriwal's Aam Aadmi Party -- which rules Delhi and Punjab -- he also said ""everyone associated with the Congress"" are responsible for the anti-Sikh riots.         ",39,congress modi party pm riots
"Indian Economy | ""India Could Be 3rd Largest Economy By 2028"": US Political Scientist To NDTV","American political scientist and global political risk consultant, Ian Bremmer has predicted that India will become the fourth-largest economy in the world by next year and the third-largest by 2028.          ",40,2028 economy largest political scientist
Hemant Soren Today News | Hemant Soren Withdraws Bail Petition After Supreme Court Rap,"Ex-Jharkhand Chief Minister Hemant Soren - arrested in January in a money laundering case - has withdrawn an interim bail plea filed before the Supreme Court after facing tough questions over non-disclosure of pertinent facts, specifically about a Ranchi special court order taking cognisance of the complaint against him.       ",41,bail court hemant soren supreme
Iran New President | Who Is Iran's Acting President Mohammad Mokhber?,"Iran News: After Ebrahim Raisi's sudden death in a helicopter crash on Sunday, First Vice President Mohammad Mokhber has taken the post as Iran's interim president. A seasoned political figure with close ties to Iran's Supreme Leader Ali Khamenei, let us take a look at his political history, and involvement with Iranian and global affairs.            ",42,iran mohammad mokhber political president
